,순위,일자,순위변동
188,59,2021-05-04,▲ 7
189,66,2021-04-27,▼ 2
190,64,2021-04-20,▼ 48
191,16,2021-04-13,▼ 8
192,8,2021-04-06,▲ 26
193,34,2021-03-30,▲ 33
194,67,2021-03-23,▼ 10
195,57,2021-03-16,▼ 13
196,44,2021-03-09,▼ 5
197,39,2021-03-02,▲ 14
198,53,2021-02-23,▼ 43
199,10,2021-02-16,▲ 9
200,19,2021-02-09,▲ 39
201,58,2021-02-02,▼ 9
202,49,2021-01-26,▲ 1
203,50,2021-01-19,▼ 6
204,44,2021-01-12,▼ 19
205,25,2021-01-05,▼ 19
206,6,2020-12-29,▲ 3
207,9,2020-12-22,▲ 44
208,53,2020-12-15,▲ 15
209,68,2020-12-08,▼ 29
210,39,2020-12-01,▼ 30
211,9,2020-11-24,▲ 55
212,64,2020-11-17,▼ 29
213,35,2020-11-10,▼ 23
214,12,2020-11-03,▲ 8
215,20,2020-10-27,▲ 72
216,92,2020-10-20,Returning
217,84,2020-10-06,▼ 18
218,66,2020-09-29,▲ 20
219,86,2020-09-22,▼ 5
220,81,2020-09-15,▼ 69
221,12,2020-09-08,▲ 6
222,18,2020-09-01,▲ 54
223,72,2020-08-25,0
224,72,2020-08-18,▼ 9
225,63,2020-08-11,▼ 1
226,62,2020-08-04,▼ 7
227,55,2020-07-28,▲ 3
228,58,2020-07-21,▼ 3
229,55,2020-07-14,▼ 19
230,36,2020-07-07,▼ 9
231,27,2020-06-30,▲ 17
232,44,2020-06-23,▼ 20
